"uid","namedLocation","domainID","siteID","plotID","pointID","startDate","endDate","sampleID","subsampleID","cameraOrientation","cameraPosition","biophysicalCriteria","imageType","imageFileName","imageFileUrl","remarks","publicationDate","release"
"de7ae257-987e-43dc-80a3-d7e20db6235c","PUUM_041.basePlot.dhp","D20","PUUM","PUUM_041","S10",2018-06-07 00:27:00,2018-06-13 02:17:00,"DHP.2018.01.PUUM041","DHP.2018.01.PUUM041.S10.UNDERSTORY",NA,"shoulder",NA,"understory","D20_0088.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_041/understory/D20_0088.NEF",NA,"20221128T174608Z","RELEASE-2023"
"20946f13-765e-4660-8171-a350596653cd","PUUM_041.basePlot.dhp","D20","PUUM","PUUM_041","W10",2018-06-07 00:27:00,2018-06-13 02:17:00,"DHP.2018.01.PUUM041","DHP.2018.01.PUUM041.W10.UNDERSTORY",NA,"shoulder",NA,"understory","D20_0094.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_041/understory/D20_0094.NEF",NA,"20221128T174608Z","RELEASE-2023"
"0089ebed-ce30-48e8-bd6d-dd73d67ea896","PUUM_041.basePlot.dhp","D20","PUUM","PUUM_041","N6",2018-06-07 00:27:00,2018-06-13 02:17:00,"DHP.2018.01.PUUM041","DHP.2018.01.PUUM041.N6.OVERSTORY",NA,"shoulder",NA,"overstory","D20_0141.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_041/overstory/D20_0141.NEF",NA,"20221128T174608Z","RELEASE-2023"
"27cfcec7-ad1a-4b3d-8604-51f22c0002de","PUUM_031.basePlot.dhp","D20","PUUM","PUUM_031","S2",2018-06-07 01:07:00,2018-06-13 01:40:00,"DHP.2018.01.PUUM031","DHP.2018.01.PUUM031.S2.UNDERSTORY",NA,"shoulder",NA,"understory","D20_0112.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_031/understory/D20_0112.NEF",NA,"20221128T174608Z","RELEASE-2023"
"12c53740-761f-46c7-b56a-d246ba694383","PUUM_031.basePlot.dhp","D20","PUUM","PUUM_031","N6",2018-06-07 01:07:00,2018-06-13 01:40:00,"DHP.2018.01.PUUM031","DHP.2018.01.PUUM031.N6.OVERSTORY",NA,"shoulder",NA,"overstory","D20_0124.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_031/overstory/D20_0124.NEF",NA,"20221128T174608Z","RELEASE-2023"
"056d3020-7484-471d-89f5-d847e914cdd9","PUUM_031.basePlot.dhp","D20","PUUM","PUUM_031","W6",2018-06-07 01:07:00,2018-06-13 01:40:00,"DHP.2018.01.PUUM031","DHP.2018.01.PUUM031.W6.OVERSTORY",NA,"shoulder",NA,"overstory","D20_0135.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_031/overstory/D20_0135.NEF",NA,"20221128T174608Z","RELEASE-2023"
"6eb27c18-030a-4975-b85d-e2b2eb05a8dc","PUUM_031.basePlot.dhp","D20","PUUM","PUUM_031","E2",2018-06-07 01:07:00,2018-06-13 01:40:00,"DHP.2018.01.PUUM031","DHP.2018.01.PUUM031.E2.UNDERSTORY",NA,"shoulder",NA,"understory","D20_0102.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_031/understory/D20_0102.NEF",NA,"20221128T174608Z","RELEASE-2023"
"d8fc8c78-ed99-4a0c-abef-7d2ca66c48c7","PUUM_031.basePlot.dhp","D20","PUUM","PUUM_031","E2",2018-06-07 01:07:00,2018-06-13 01:40:00,"DHP.2018.01.PUUM031","DHP.2018.01.PUUM031.E2.OVERSTORY",NA,"shoulder",NA,"overstory","D20_0127.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_031/overstory/D20_0127.NEF",NA,"20221128T174608Z","RELEASE-2023"
"08397723-9bf9-4895-8904-9b119473c48f","PUUM_031.basePlot.dhp","D20","PUUM","PUUM_031","E10",2018-06-07 01:07:00,2018-06-13 01:40:00,"DHP.2018.01.PUUM031","DHP.2018.01.PUUM031.E10.UNDERSTORY",NA,"shoulder",NA,"understory","D20_0105.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_031/understory/D20_0105.NEF",NA,"20221128T174608Z","RELEASE-2023"
"6f6eacc3-5b63-4575-bbe4-6c89ca2316a7","PUUM_031.basePlot.dhp","D20","PUUM","PUUM_031","N6",2018-06-07 01:07:00,2018-06-13 01:40:00,"DHP.2018.01.PUUM031","DHP.2018.01.PUUM031.N6.UNDERSTORY",NA,"shoulder",NA,"understory","D20_0100.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_031/understory/D20_0100.NEF",NA,"20221128T174608Z","RELEASE-2023"
